trail,poi_name,category,lat,lon,match_status,matched_osm_id,matched_osm_url,distance_m,tag_diff,proposal_note
Gudbrandsdalsleden,Gapahuk ved Honerud Gård,Teltplass | Gapahuk,60.1948610,10.3523226,matched,node/13946282701,https://www.openstreetmap.org/node/13946282701,19.6,+name=Gapahuk ved Honerud Gård; +shelter_type=lean_to,
Gudbrandsdalsleden,Gapahuk ved Nordsveodden i Ottestad,Gapahuk,60.7691810,11.0742694,matched,node/10857479543,https://www.openstreetmap.org/node/10857479543,14.2,+name=Gapahuk ved Nordsveodden i Ottestad,
Gudbrandsdalsleden,"Gapahuken ""Kjerringfred""",Gapahuk,59.9590930,10.9450000,matched,node/937852318,https://www.openstreetmap.org/node/937852318,40.3,"name:Gapahuken ""Kjerringfred""->Kjerringfred",
Gudbrandsdalsleden,Gildesvollen Pilegrimsherberge - overnatting på en historisk plass,Pilegrimsherberge,61.5090688,10.1698167,matched,way/708001653,https://www.openstreetmap.org/way/708001653,20.0,+hostel:type=pilgrim; name:Gildesvollen Pilegrimsherberge - overnatting på en historisk plass->Gildesvollen,
Gudbrandsdalsleden,Gjesteheim Havdal,Vandrerhjem,62.7641548,9.9697226,matched,way/454068583,https://www.openstreetmap.org/way/454068583,7.2,tourism:hostel->guest_house,
Gudbrandsdalsleden,Gjøvik Vandrerhjem Hovdetun,Pilegrimsherberge | Vandrerhjem | Rom og hytter,60.7976461,10.6716295,matched,node/1478834689,https://www.openstreetmap.org/node/1478834689,3.9,+hostel:type=pilgrim,
Gudbrandsdalsleden,Granmo Camping,Campingplass | Rom og hytter | Teltplass,62.5478528,9.6287959,matched,way/202582264,https://www.openstreetmap.org/way/202582264,53.4,osm:tents=yes; tourism:chalet->camp_site,
Gudbrandsdalsleden,Gumdal gård,Pilegrimsherberge,63.1764144,9.7727062,matched,node/12881707301,https://www.openstreetmap.org/node/12881707301,11.1,+hostel:type=pilgrim; name:Gumdal gård->Gumdal Farm,
Gudbrandsdalsleden,Guriberget,Gapahuk,62.6249186,9.7557765,matched,node/664773392,https://www.openstreetmap.org/node/664773392,4.6,,
Gudbrandsdalsleden,Hageseter Turisthytte,Vandrerhjem | Rom og hytter | Teltplass,62.1957542,9.5476985,matched,node/1356457924,https://www.openstreetmap.org/node/1356457924,33.8,name:Hageseter Turisthytte->Hageseter; tourism:hostel->alpine_hut,
Gudbrandsdalsleden,Heimtun Camping. Hytter og teltplass,Rom og hytter | Teltplass,61.5504400,10.0484400,matched,node/3663315296,https://www.openstreetmap.org/node/3663315296,11.7,name:Heimtun Camping. Hytter og teltplass->Heimtun Camping; osm:tents=yes; tourism:chalet->camp_site,
Gudbrandsdalsleden,Hekshusstranda Camping,Campingplass | Rom og hytter | Teltplass | Rasteplass,60.7225580,10.8500830,matched,way/70034203,https://www.openstreetmap.org/way/70034203,32.4,tourism:chalet->camp_site,
