trail,poi_name,category,lat,lon,url
Gudbrandsdalsleden,Sandbakken Camping - STENGT 2023,Rom og hytter,61.8593370,9.4064000,https://www.pilegrimsleden.no/interessepunkter/sandbakken-camping
Gudbrandsdalsleden,Segard Hoel,Pilegrimsherberge | Vandrerhjem,62.9913974,9.7654720,https://www.pilegrimsleden.no/interessepunkter/segard-hoel
Gudbrandsdalsleden,Skaun menighetshus,Pilegrimsherberge,63.2505676,10.0524452,https://www.pilegrimsleden.no/interessepunkter/skaun-menighetshus
Gudbrandsdalsleden,Skogheim Pilegrimsherberge,Vandrerhjem,63.0880382,9.6976233,https://www.pilegrimsleden.no/interessepunkter/skogheim-pilegrimsherberge
Gudbrandsdalsleden,Skomakerstua,Rom og hytter | Teltplass | Rasteplass,60.0883732,10.2026188,https://www.pilegrimsleden.no/interessepunkter/skomakerstuen-1
Gudbrandsdalsleden,Skysstasjonen Høgkorsplassen,Pilegrimsherberge | Rom og hytter | Teltplass,60.4947611,10.5966909,https://www.pilegrimsleden.no/interessepunkter/skysstasjonen-hogkorsplassen
Gudbrandsdalsleden,Slettum Gård,Pilegrimsherberge,60.8765748,10.6860048,https://www.pilegrimsleden.no/interessepunkter/slettum-gard
Gudbrandsdalsleden,Sløvika Camping,Pilegrimsherberge | Campingplass | Rom og hytter | Teltplass,60.2844034,10.4101311,https://www.pilegrimsleden.no/interessepunkter/slovika-camping
Gudbrandsdalsleden,Smegarden Camping,Campingplass | Rom og hytter | Teltplass,62.5342769,9.6247091,https://www.pilegrimsleden.no/interessepunkter/smegarden-camping
Gudbrandsdalsleden,Snøhetta Camping,Campingplass | Rom og hytter | Teltplass,62.2205812,9.5494045,https://www.pilegrimsleden.no/interessepunkter/snohetta-camping
Gudbrandsdalsleden,Solvang overnatting,Pilegrimsherberge | Teltplass,60.3694601,11.2789336,https://www.pilegrimsleden.no/interessepunkter/solvang-herberge
Gudbrandsdalsleden,Spitalen gamle skolehus - vertskap Sannfredstun,Teltplass,60.4954632,11.3188569,https://www.pilegrimsleden.no/interessepunkter/retreat-og-herberge-i-spitalen-sondre
Gudbrandsdalsleden,Stabburet på Skjefstad,Pilegrimsherberge,63.3448022,10.2859765,https://www.pilegrimsleden.no/interessepunkter/stabburdet-pa-skjefstad
Gudbrandsdalsleden,Stall Lisletta,Rom og hytter | Teltplass,60.1481275,10.2923870,https://www.pilegrimsleden.no/interessepunkter/stall-lisletta
Gudbrandsdalsleden,Steinvik Camping,Rom og hytter | Teltplass,60.9158586,10.7003821,https://www.pilegrimsleden.no/interessepunkter/steinvik-camping-og-hyttegrend
