trail,poi_name,category,lat,lon,address,match_status,matched_osm_id,matched_osm_url,matched_osm_name,distance_m,tag_diff
Gudbrandsdalsleden,Jonsgård Seng & Frokost,Overnatting | Pilegrimsherberge,61.5309200,10.1388410,,matched,node/3051727920,https://www.openstreetmap.org/node/3051727920,Jonsgård Bed & Breakfast,4.9,+hostel:type=pilgrim; name:Jonsgård Seng & Frokost->Jonsgård Bed & Breakfast; tourism:hostel->guest_house
Gudbrandsdalsleden,Killi Pensjonat tilbyr overnatting i Otta sentrum,Overnatting | Pilegrimsherberge,61.7719774,9.5249291,,matched,node/6808271319,https://www.openstreetmap.org/node/6808271319,Killi pensjonat,0.6,+hostel:type=pilgrim; name:Killi Pensjonat tilbyr overnatting i Otta sentrum->Killi pensjonat; tourism:hostel->guest_house
Gudbrandsdalsleden,Kirketeigen Rom og Camping,Overnatting | Pilegrimsherberge | Campingplass,61.6665700,9.6938040,,matched,node/3663315384,https://www.openstreetmap.org/node/3663315384,Kirketeigen Ungdomssenter og Camping,32.5,+hostel:type=pilgrim; name:Kirketeigen Rom og Camping->Kirketeigen Ungdomssenter og Camping; tourism:hostel->camp_site
Gudbrandsdalsleden,Kleivstua hotell,Overnatting | Hotell | Vandrerhjem | Rom og hytter,60.0468680,10.3221490,"Dronningveien 500, 3531 Krokkleiva",matched,way/153309337,https://www.openstreetmap.org/way/153309337,Kleivstua,35.9,name:Kleivstua hotell->Kleivstua; tourism:hostel->hotel
Gudbrandsdalsleden,Kongsvold Fjeldstue,Overnatting | Hotell | Pilegrimsherberge,62.3034011,9.6057522,"Dovrevegen 3663, Dovrefjell, 7340 Oppdal",matched,node/833725123,https://www.openstreetmap.org/node/833725123,Kongsvold Fjeldstue,12.0,+hostel:type=pilgrim; tourism:hostel->alpine_hut
Gudbrandsdalsleden,Lavo og utedo ved Stormyra,Gapahuk,63.2760723,10.1065542,,matched,way/1247018465,https://www.openstreetmap.org/way/1247018465,,6.3,+name=Lavo og utedo ved Stormyra; +shelter_type=lean_to
Gudbrandsdalsleden,Lillehammer Vandrerhjem Stasjonen,Overnatting | Hotell | Vandrerhjem,61.1146500,10.4614950,,matched,node/6808271336,https://www.openstreetmap.org/node/6808271336,Lillehammer Vandrerhjem,16.6,name:Lillehammer Vandrerhjem Stasjonen->Lillehammer Vandrerhjem
Gudbrandsdalsleden,Ljoshaugen camping,Overnatting | Campingplass,62.0707621,9.1316986,"Ljoshaugvegen 13, 2660 Dombås",matched,node/12115211607,https://www.openstreetmap.org/node/12115211607,Ljoshaugen camping,105.8,name_match_beyond_100m
Gudbrandsdalsleden,Lygnasæter,Overnatting | Hotell | Rom og hytter,60.4550924,10.6444572,"Lygna, 2770 Jaren",matched,node/201587067,https://www.openstreetmap.org/node/201587067,Lygnasæter hotell,4.5,name:Lygnasæter->Lygnasæter hotell; tourism:chalet->hotel
Gudbrandsdalsleden,Lysjøhimet,Overnatting | Rom og hytter,60.4573308,11.2933901,"Lysjøen, 2080 Eidsvoll",matched,node/849994019,https://www.openstreetmap.org/node/849994019,Lysjøhimet,2.5,tourism:chalet->wilderness_hut
Gudbrandsdalsleden,Mageli Camping og Hytter,Overnatting | Campingplass,61.3669040,10.2833430,"Kongsvegen 2220, 2635 Tretten",matched,node/3663315613,https://www.openstreetmap.org/node/3663315613,Mageli Camping og Hytter,79.1,
